stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_0900R5-AVUNIVERSIDAD,Av. Universidad,19.33621,-99.18573,0900R5-AVUNIVERSIDAD,2
B_0900R5-ECONOMIA,Economía,19.33559,-99.18296,0900R5-ECONOMIA,2
B_0900R5-ODONTOLOGIA,Odontología,19.33487,-99.18078,0900R5-ODONTOLOGIA,2
B_0900R5-MEDICINA,Medicina,19.33456,-99.17981,0900R5-MEDICINA,2
B_0900R4-CAMPOSFUT2,Campos de Futbol II,19.32329,-99.19207,0900R4-CAMPOSFUT2,2
B_0900R4-JARDINBOTANIC,Jardín Botánico,19.32132,-99.19306,0900R4-JARDINBOTANIC,2
B_0900R4-CAMPOSFUT1,Campos de Futbol I,19.32399,-99.19217,0900R4-CAMPOSFUT1,2
B_0900R4-ESTADIOPRACT,Estadio de Prácticas,19.32673,-99.18809,0900R4-ESTADIOPRACT,2
B_0900R3-CHUMANIDADES,Coordinación de Humanidades,19.31414,-99.18151,0900R3-CHUMANIDADES,2
B_0900R3-IFILOLOGICAS,Investigaciones Filológicas,19.31406,-99.18106,0900R3-IFILOLOGICAS,2
B_0900R3-IFILOSOFICAS,Investigaciones Filosóficas,19.31397,-99.1801,0900R3-IFILOSOFICAS,2
B_0900R3-AVIMAN,Av. Imán,19.30811,-99.18011,0900R3-AVIMAN,2
B_0900R3-ARCHIVGRAL,Archivo General,19.30985,-99.18037,0900R3-ARCHIVGRAL,2
B_0900R3-DGAPA,DGAPA,19.3108,-99.18213,0900R3-DGAPA,2
B_0900R3-UNIVERSUM,Universum,19.31171,-99.18216,0900R3-UNIVERSUM,2
B_0900R3-TEATRODANZA,Teatro y Danza,19.31198,-99.18463,0900R3-TEATRODANZA,2
B_0900R3-DGIRE,DGIRE,19.3118,-99.18488,0900R3-DGIRE,2
B_0900R3-PECONOMIA,Posgrado de Economía,19.31146,-99.18585,0900R3-PECONOMIA,2
B_0900R3-UPOSGRADO,Unidad de Posgrado,19.30914,-99.18596,0900R3-UPOSGRADO,2
B_0900R3-ZONACULTURAL,Zona Cultural,19.3146,-99.18629,0900R3-ZONACULTURAL,2
B_0900R3-MUAC,MUAC,19.31458,-99.18598,0900R3-MUAC,2
B_0900R3-BIBLIOTECNAL2,Biblioteca Nacional 2,19.31544,-99.18637,0900R3-BIBLIOTECNAL2,2
B_0900R3-BIBLIOTECANAL,Biblioteca Nacional,19.31577,-99.18611,0900R3-BIBLIOTECANAL,2
B_0900R3-ESCULTORICO,Espacio Escultórico,19.31734,-99.18362,0900R3-ESCULTORICO,2
